Kabupaten/Kota,Number of General Hospital,Number of Specialized Hospital,Number of Public Health Center with Inpatient Care,Number of Public Health Center without Inpatient Care,Number of Primary Clinic,Number of Integrated Health Post
Pacitan,3,–,15,9,13,840
Ponorogo,7,–,19,12,38,1133
Trenggalek,2,–,20,2,14,858
Tulungagung,10,–,17,15,42,1242
Blitar,8,–,18,6,23,1472
Kediri,9,–,8,29,50,1748
Malang,22,2,39,–,112,2861
Lumajang,7,–,25,–,31,1299
Jember,11,2,43,7,84,2876
Banyuwangi,13,–,18,27,65,2310
Bondowoso,3,–,25,–,8,1091
Situbondo,5,1,18,2,17,941
Probolinggo,5,–,21,12,15,1334
Pasuruan,8,1,17,16,64,1921
Sidoarjo,24,1,14,13,183,1846
Mojokerto,11,–,17,10,55,1289
Jombang,12,1,19,15,40,1589
Nganjuk,4,–,14,6,32,1325
Madiun,3,–,10,16,11,877
Magetan,3,–,17,5,16,932
Ngawi,3,–,23,1,19,1219
Bojonegoro,10,–,26,9,17,1653
Tuban,6,–,8,25,30,1443
Lamongan,16,1,31,1,63,1749
Gresik,19,–,16,16,79,1516
Bangkalan,3,1,22,–,11,1146
Sampang,3,–,19,3,13,1049
Pamekasan,6,–,21,–,17,992
Sumenep,4,–,30,–,19,1492
Kota Kediri,9,1,4,5,35,347
Kota Blitar,5,–,2,1,24,168
Kota Malang,14,1,–,16,71,652
Kota Probolinggo,2,–,2,4,22,219
Kota Pasuruan,2,–,–,8,20,303
Kota Mojokerto,6,–,2,4,10,171
Kota Madiun,6,1,–,6,32,271
Kota Surabaya,39,7,22,41,243,2715
Kota Batu,5,–,3,2,12,189
Jawa Timur,328,20,625,344,1650,47078
