wilayah,rs_umum,rs_khusus,puskesmas_rawat_inap,puskesmas_non_rawat_inap,klinik_pratama,posyandu,tahun
Pamekasan,6.0,0.0,21,0,23.0,993.0,2024
Sumenep,4.0,,30,0,15.0,1492.0,2024
Kota Kediri,9.0,1.0,4,5,44.0,347.0,2024
Kota Blitar,5.0,0.0,2,1,25.0,168.0,2024
Kota Malang,14.0,0.0,0,16,95.0,651.0,2024
Kota Probolinggo,3.0,0.0,2,4,27.0,219.0,2024
Kota Pasuruan,2.0,0.0,0,8,28.0,305.0,2024
Kota Mojokerto,6.0,0.0,2,4,14.0,170.0,2024
Kota Madiun,7.0,1.0,0,6,36.0,270.0,2024
Kota Surabaya,40.0,7.0,22,41,418.0,2682.0,2024
Kota Batu,5.0,0.0,3,2,12.0,189.0,2024
Pacitan,3.0,0.0,15,9,13.0,840.0,2025
Ponorogo,7.0,0.0,19,12,38.0,1133.0,2025
Trenggalek,2.0,0.0,20,2,14.0,858.0,2025
Tulungagung,10.0,0.0,17,15,42.0,1242.0,2025
Blitar,8.0,0.0,18,6,23.0,1472.0,2025
Kediri,9.0,0.0,8,29,50.0,1748.0,2025
Malang,22.0,2.0,39,0,112.0,2861.0,2025
Lumajang,7.0,0.0,25,0,31.0,1299.0,2025
Jember,11.0,2.0,43,7,84.0,2876.0,2025
Banyuwangi,13.0,0.0,18,27,65.0,2310.0,2025
Bondowoso,3.0,0.0,25,0,8.0,1091.0,2025
Situbondo,5.0,1.0,18,2,17.0,941.0,2025
Probolinggo,5.0,0.0,21,12,15.0,1334.0,2025
Pasuruan,8.0,1.0,17,16,64.0,1921.0,2025
Sidoarjo,24.0,1.0,14,13,183.0,1846.0,2025
Mojokerto,11.0,0.0,17,10,55.0,1289.0,2025
Jombang,12.0,1.0,19,15,40.0,1589.0,2025
Nganjuk,4.0,0.0,14,6,32.0,1325.0,2025
Madiun,3.0,0.0,10,16,11.0,877.0,2025
Magetan,3.0,0.0,17,5,16.0,932.0,2025
Ngawi,3.0,0.0,23,1,19.0,1219.0,2025
Bojonegoro,10.0,0.0,26,9,17.0,1653.0,2025
Tuban,6.0,0.0,8,25,30.0,1443.0,2025
Lamongan,16.0,1.0,31,1,63.0,1749.0,2025
Gresik,19.0,0.0,16,16,79.0,1516.0,2025
Bangkalan,3.0,1.0,22,0,11.0,1146.0,2025
Sampang,3.0,0.0,19,3,13.0,1049.0,2025
Pamekasan,6.0,0.0,21,0,17.0,992.0,2025
Sumenep,4.0,0.0,30,0,19.0,1492.0,2025
Kota Kediri,9.0,1.0,4,5,35.0,347.0,2025
Kota Blitar,5.0,0.0,2,1,24.0,168.0,2025
Kota Malang,14.0,1.0,0,16,71.0,652.0,2025
Kota Probolinggo,2.0,0.0,2,4,22.0,219.0,2025
Kota Pasuruan,2.0,0.0,0,8,20.0,303.0,2025
Kota Mojokerto,6.0,0.0,2,4,10.0,171.0,2025
Kota Madiun,6.0,1.0,0,6,32.0,271.0,2025
Kota Surabaya,39.0,7.0,22,41,243.0,2715.0,2025
Kota Batu,5.0,0.0,3,2,12.0,189.0,2025
