Kabupaten/Kota,Number of General Hospital,Number of Specialized Hospital,Number of Public Health Center with Inpatient Care,Number of Public Health Center without Inpatient Care,Number of Primary Clinic,Number of Integrated Health Post
Pacitan,3,–,15,9,16,847
Ponorogo,8,–,18,13,49,1134
Trenggalek,3,1,19,3,20,860
Tulungagung,10,3,17,15,53,1241
Blitar,8,–,15,9,26,1466
Kediri,9,2,8,29,60,1701
Malang,24,2,39,–,109,2797
Lumajang,8,–,25,–,35,1310
Jember,12,2,43,7,97,2895
Banyuwangi,13,–,18,27,68,2280
Bondowoso,4,–,25,–,14,1027
Situbondo,6,3,17,3,19,907
Probolinggo,5,1,20,13,23,1259
Pasuruan,10,1,17,16,69,1930
Sidoarjo,25,7,14,17,200,1845
Mojokerto,11,–,17,10,61,1287
Jombang,13,2,20,14,44,1592
Nganjuk,4,–,14,6,40,1198
Madiun,3,–,10,16,11,876
Magetan,2,4,18,4,17,930
Ngawi,5,–,21,3,22,1224
Bojonegoro,10,1,26,9,34,1654
Tuban,6,–,8,25,37,1253
Lamongan,17,2,31,1,71,1676
Gresik,19,1,16,16,103,1403
Bangkalan,3,5,22,–,18,1112
Sampang,5,–,21,1,19,1029
Pamekasan,6,3,21,–,25,970
Sumenep,4,1,30,–,21,1480
Kota Kediri,9,4,3,6,38,340
Kota Blitar,5,1,–,3,28,169
Kota Malang,15,13,–,16,96,642
Kota Probolinggo,3,2,2,4,25,219
Kota Pasuruan,2,–,–,8,30,307
Kota Mojokerto,6,–,–,6,22,170
Kota Madiun,8,2,–,6,40,269
Kota Surabaya,43,23,23,40,332,2672
Kota Batu,5,1,3,2,12,194
Jawa Timur,352,87,616,357,2004,46165
,,,,,,
Keterangan,,,,,,
"<sup>1 </sup>RS Bersalin Tahun 2024 sudah tidak ada, RSIA (RS ibu dan anak) ",,,,,,
"masuk dalam kategori RS Khusus/ <i>In 2024, the Maternity Hospital will no longer exist, RSIA (Mother and Child Hospital) is included in the Special Hospital category</i><sup>2 </sup>Klinik Pratama kondisi data per 11 Januari 2025 /<i> Pratama Clinic data condition as of January 11, 2025</i>",,,,,,
