Wilayah,,,
,Total Population by Sex and Regency/Municipality of Jawa Timur Province (People),,
,L,P,L+P
,2025,2025,2025
Jawa Timur,20978455,21110816,42089271
Kabupaten Pacitan,295841,293193,589034
Kabupaten Ponorogo,480979,485132,966111
Kabupaten Trenggalek,374388,373226,747614
Kabupaten Tulungagung,559968,559620,1119588
Kabupaten Blitar,639662,633789,1273451
Kabupaten Kediri,858694,843568,1702262
Kabupaten Malang,1383840,1371598,2755438
Kabupaten Lumajang,569439,582825,1152264
Kabupaten Jember,1304676,1315459,2620135
Kabupaten Banyuwangi,881578,882962,1764540
Kabupaten Bondowoso,392639,403661,796300
Kabupaten Situbondo,346053,358190,704243
Kabupaten Probolinggo,588818,604454,1193272
Kabupaten Pasuruan,834718,834682,1669400
Kabupaten Sidoarjo,1101323,1092369,2193692
Kabupaten Mojokerto,584231,578465,1162696
Kabupaten Jombang,692105,681688,1379371
Kabupaten Nganjuk,571849,566755,1138604
Kabupaten Madiun,376207,384741,760948
Kabupaten Magetan,338849,350360,689209
Kabupaten Ngawi,439055,448117,887172
Kabupaten Bojonegoro,666955,663561,1330516
Kabupaten Tuban,614391,616983,1231374
Kabupaten Lamongan,692953,693437,1386390
Kabupaten Gresik,693072,684215,1377287
Kabupaten Bangkalan,550045,562911,1112956
Kabupaten Sampang,510691,516847,1027538
Kabupaten Pamekasan,439571,453756,893327
Kabupaten Sumenep,562184,597213,1159397
Kota Kediri,151055,150147,301202
Kota Blitar,77501,78829,156330
Kota Malang,437003,442870,879873
Kota Probolinggo,125131,126954,252085
Kota Pasuruan,111190,111144,222334
Kota Mojokerto,68640,69973,138613
Kota Madiun,99640,103912,203552
Kota Surabaya,1450293,1481318,2931611
Kota Batu,113228,111892,225120
