wilayah,penduduk,kepadatan_per_km2,laju_pertumbuhan,tahun
Aceh,5626000.0,99.0,1.37,2025
Sumatera Utara,15785800.0,218.0,1.37,2025
Sumatera Barat,5914300.0,140.0,1.41,2025
Riau,6811200.0,76.0,1.34,2025
Jambi,3768500.0,77.0,1.28,2025
Sumatera Selatan,8928500.0,103.0,1.12,2025
Bengkulu,2138000.0,106.0,1.3,2025
Lampung,9522900.0,284.0,1.18,2025
Kepulauan Bangka Belitung,1550800.0,93.0,1.34,2025
Kepulauan Riau,2213500.0,268.0,1.48,2025
DKI Jakarta,10678000.0,16155.0,0.23,2025
Jawa Barat,50759000.0,1370.0,1.06,2025
Jawa Tengah,38233900.0,1113.0,0.97,2025
DI Yogyakarta,3781500.0,1193.0,0.64,2025
Jawa Timur,42089300.0,876.0,0.73,2025
Banten,12537400.0,1341.0,1.1,2025
Bali,4461300.0,798.0,0.69,2025
Nusa Tenggara Barat,5731100.0,291.0,1.58,2025
Nusa Tenggara Timur,5742600.0,124.0,1.6,2025
Kalimantan Barat,5766000.0,39.0,1.33,2025
Kalimantan Tengah,2845000.0,19.0,1.35,2025
Kalimantan Selatan,4323300.0,116.0,1.26,2025
Kalimantan Timur,4267600.0,34.0,2.67,2025
Kalimantan Utara,749400.0,11.0,1.39,2025
Sulawesi Utara,2721400.0,188.0,0.79,2025
Sulawesi Tengah,3156100.0,51.0,1.18,2025
Sulawesi Selatan,9563100.0,211.0,1.11,2025
Sulawesi Tenggara,2836700.0,78.0,1.65,2025
Gorontalo,1242200.0,103.0,1.24,2025
Sulawesi Barat,1525300.0,92.0,1.53,2025
Maluku,1970600.0,43.0,1.35,2025
Maluku Utara,1373800.0,42.0,1.45,2025
Papua Barat,587600.0,10.0,1.68,2025
Papua Barat Daya,636400.0,16.0,1.57,2025
Papua,1073600.0,13.0,1.34,2025
Papua Selatan,549700.0,5.0,1.44,2025
Papua Tengah,1492300.0,24.0,1.49,2025
Papua Pegunungan,1484900.0,29.0,1.39,2025
