Kabupaten/Kota,Number of General Hospital,Number of Specialized Hospital,Number of Public Health Center with Inpatient Care,Number of Public Health Center without Inpatient Care,Number of Primary Clinic,Number of Integrated Health Post
Pacitan,3,–,15,9,17,843
Ponorogo,8,–,19,12,49,1134
Trenggalek,3,–,20,2,25,858
Tulungagung,10,–,17,15,52,1242
Blitar,8,–,18,6,26,1472
Kediri,9,–,8,29,58,1753
Malang,22,2,39,–,106,2868
Lumajang,8,–,25,–,36,1304
Jember,12,2,43,7,92,2895
Banyuwangi,13,–,18,27,71,2318
Bondowoso,3,–,25,–,14,1095
Situbondo,6,1,18,2,16,947
Probolinggo,5,–,21,12,21,1342
Pasuruan,8,1,17,16,62,1925
Sidoarjo,24,1,14,16,186,1849
Mojokerto,11,–,17,10,56,1286
Jombang,13,1,19,15,44,1591
Nganjuk,4,–,14,6,42,1325
Madiun,3,–,10,16,12,880
Magetan,3,–,17,5,18,930
Ngawi,5,–,23,1,21,1225
Bojonegoro,10,–,26,9,27,1653
Tuban,6,–,8,25,38,1444
Lamongan,17,2,31,1,67,1750
Gresik,19,–,16,16,94,1523
Bangkalan,3,1,22,–,17,1147
Sampang,3,–,19,3,10,1049
Pamekasan,6,–,21,–,23,993
Sumenep,4,...,30,–,15,1492
Kota Kediri,9,1,4,5,44,347
Kota Blitar,5,–,2,1,25,168
Kota Malang,14,–,–,16,95,651
Kota Probolinggo,3,–,2,4,27,219
Kota Pasuruan,2,–,–,8,28,305
Kota Mojokerto,6,–,2,4,14,170
Kota Madiun,7,1,–,6,36,270
Kota Surabaya,40,7,22,41,418,2682
Kota Batu,5,–,3,2,12,189
Jawa Timur,340,20,625,347,2014,47134
